Id	Lb	Ub
r_0672	0	1000
r_4274	0	1000
r_1084	0	1000
r_1665	0	1000
r_1000	0	1000
r_0454	0	1000
r_0455	0	1000
r_1112	0	1000
r_0714	0	1000
r_2119	-1000	0
r_0815	-1000	0
r_4236	-1000	0
r_4264	-1000	0
r_1831	-1000	0
r_1758	0	0
r_4226	0	0
r_4262	0	0
r_1652	0	0
r_4046	0	1000
r_4291	0	1000
